SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
2046078,,RG 43-7,,,,,MIN03-44587,2003,,,1 file of textual records,textual records,,,,,,Y,2023," :""B818803"":""Y"":",,
2072527,,RG 68-22,,,,,Pyrok North American Incorporated,1990,,,1 file of textual records,textual records,,,,,,Y,2021," :""B820255"":""Y"":",,
1821179,,RG 10-58,,,,Hospital Planning Branch,Brampton - Chinguacousy,1989-1990,,,1 file of textual records,textual records,,,,,,Y,2040," :""B816560"":""Y"":",,
2058310,,RG 47-111,,,,,(PAC) Public Affairs Committee - Notes process,2001,,,1 file of textual records,textual records,,,,,,Y,2021," :""B814193"":""Y"":",,
1726439,,RG 3-57,,CU 1-1,,,Generating Station - Atikokan - USA Res. [Residents] - Quetico - D - F,1977,,,1 file of textual records,Textual records,,1980-00111/3,,,,Y,2077," :""B141002 "":""Y"":",,
2031631,,RG 42-90,,,,St. Catharines courthouse and registry office,Peto MacCallum Ltd.,1981-1982,,,1 file of textual records,textual records,,,,,,Y,2032," :""B820497"":""Y"":",,
1893172,,RG 2-243,RG 2-243-1,,,,Canada Towards the 21st Century,1991-1992,,,1 file of textual records,textual records,,,,,,Y,2092," :""B819165"":""Y"":",,
2057781,,RG 47-111,,,,Agency / Board / Commission (ABC) 2355-6-6,Auditor's reports,1996,,,1 file of textual records,textual records,,,,,,Y,2016," :""B814213"":""Y"":",,
1764709,,F 1012,,,,,[Statement of account - A. Locking],1889,Original item was in folder 29a. Item number is 1074.,,1 reel of microfilm (textual records),Textual records,,"To view, retrieve self-service microfilm reel MS 177/7.",,,,Y,," :""M053657"":""N"":",,
1725587,,RG 3-57,,CU 1-1,,,Abortions - I - J,1974,,,1 file of textual records,Textual records,,1976-00457/1,,,,Y,2074," :""B112121"":""Y"":",,
2193411,,RG 4-154,,CR030379,,,Guidelines for Therapeutic & Training Programs,05-Sep-75,,,110.56 KB of textual records (.pdf),Electronic records,,Restricted. Please contact a Reference Archivist for more information.,,Manual/Policy ; 2,,Y,," :"" "":"" "":",,
1815296,,RG 10-386,,,,MOH,Ministry of Health - Victoria Hospital - Emergency Electrical Generators,1993,,,1 file of textual records,textual records,,,,,,Y,2013," :""B439467"":""Y"":",,
1771444,,F 4655-1,F 4655-1-0-278,70-1395,,,Ontario Milk Marketing Board - Exhibit - Western Fair,"Sept. 11, 1970",,,"5 photographs : 5 colour negatives, ",Graphic materials,,118,,,,Y,," :""B862765"":""Y"":",,
1777832,,F 4655-1,F 4655-1-0-6665,80-7795,,,Keeprite Incorporated - Canadian Environmental Exposition (CEX) Show,"Mar. 26, 1980",,,"15 photographs : 9 colour negatives, 6 black and white negatives, ",Graphic materials,,114,,,,Y,," :""B862914"":""Y"":",,
1742362,,F 138-13,F 138-13-0-457,,,Vice-president,Confidential envelopes,1956,,,1 file of textual records,Textual records,,1980-01195/67,,,,Y,1986," :""B245172"":""Y"":",,
1788977,,F 4655-1,F 4655-1-0-17810,90-8940,,,Genin Trudeau - Gift and Tableware Show,"Aug. 12, 1990",,,"5 photographs : 5 colour negatives, ",,,111,,,,Y,," :""B862836"":""Y"":",,
