SISN,IMAGE,REF_ADD,REF_FILE,REF_CREATOR,SCALE,CLASS,TITLE,DATECR,SCOPE,CREATOR,PHDESC,GMD,REST,CONT,AOCONT,NOTES,STATUS,WEBL,OPENDATE,BNOTE:BARCODE:BDISPLAY,,
1026439,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4168 ; Roll : 78-0253 ; Photo(s) : 59-64,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026440,,RG 1-429-7,,,"1:15,840",,"418822, 418823",1978,Flight Line : 4169 ; Roll : 78-0253 ; Photo(s) : 51-58,,8 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418822 and 418823 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00016, barcode B821617.",,Y,," :""B863215"":""Y"":",,
1026441,,RG 1-429-7,,,"1:15,840",,418824,1978,Flight Line : 4168 ; Roll : 78-0253 ; Photo(s) : 40-46,,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418824 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00017, barcode B821616.",,Y,," :""B863215"":""Y"":",,
1026442,,RG 1-429-7,,,"1:15,840",,418824,1978,Flight Line : 4168 ; Roll : 78-0253 ; Photo(s) : 47-50,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418824 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00017, barcode B821616.",,Y,," :""B863215"":""Y"":",,
1026443,,RG 1-429-7,,,"1:15,840",,418824,1978,Flight Line : 4169 ; Roll : 78-0253 ; Photo(s) : 24-32,,9 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418824 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00017, barcode B821616.",,Y,," :""B863215"":""Y"":",,
1026444,,RG 1-429-7,,,"1:15,840",,418824,1978,Flight Line : 4169 ; Roll : 78-0253 ; Photo(s) : 33-39,,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 418824 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00017, barcode B821616.",,Y,," :""B863215"":""Y"":",,
1026445,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4200 ; Roll : 56-0003 ; Photo(s) : 244-245,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026446,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4201 ; Roll : 56-0003 ; Photo(s) : 220-222,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026447,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4202 ; Roll : 56-0003 ; Photo(s) : 179-181,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026448,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4203 ; Roll : 56-0003 ; Photo(s) : 136-139,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026449,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4204 ; Roll : 56-0003 ; Photo(s) : 89-94,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026450,,RG 1-429-7,,,"1:15,840",,421822,1956,Flight Line : 4205 ; Roll : 56-0003 ; Photo(s) : 41-49,,9 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1956, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026451,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4201 ; Roll : 1-72-0017 ; Photo(s) : 151-152,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026452,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4202 ; Roll : 1-72-0017 ; Photo(s) : 123-124,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026453,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4203 ; Roll : 1-72-0017 ; Photo(s) : 82-85,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026454,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4204 ; Roll : 1-72-0017 ; Photo(s) : 41-43,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026455,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4204 ; Roll : 1-72-0034 ; Photo(s) : 34-39,,6 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026456,,RG 1-429-7,,,"1:15,840",,421822,1972,Flight Line : 4205 ; Roll : 1-72-0034 ; Photo(s) : 77-83,,7 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1972, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615. ; Area 11",,Y,," :""B863215"":""Y"":",,
1026457,,RG 1-429-7,,,"1:15,840",,421822,1978,Flight Line : 4201 ; Roll : 78-0257 ; Photo(s) : 100-101,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615.",,Y,," :""B863215"":""Y"":",,
1026458,,RG 1-429-7,,,"1:15,840",,421822,1978,Flight Line : 4202 ; Roll : 78-0257 ; Photo(s) : 91-92,,2 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615.",,Y,," :""B863215"":""Y"":",,
1026459,,RG 1-429-7,,,"1:15,840",,421822,1978,Flight Line : 4203 ; Roll : 78-0257 ; Photo(s) : 64-66,,3 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615.",,Y,," :""B863215"":""Y"":",,
1026460,,RG 1-429-7,,,"1:15,840",,421822,1978,Flight Line : 4204 ; Roll : 78-0257 ; Photo(s) : 45-48,,4 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615.",,Y,," :""B863215"":""Y"":",,
1026461,,RG 1-429-7,,,"1:15,840",,421822,1978,Flight Line : 4205 ; Roll : 78-0225 ; Photo(s) : 148-152,,5 photographs : black and white prints,,,FRI-0001,,"Index Map Note : The docket index map, for docket number 421822 for the year 1978, originally located within this file, has been separated to sub-series RG 1-429-10, container SDM-00018, barcode B821615.",,Y,," :""B863215"":""Y"":",,
